1.042; 408.96; 22.4; 43.0; 256.0; 256.0; 
1.042; 410.88; 0.0; 43.0; 273.92; 273.92; 
1.042; 413.76; 1.0; 44.0; 261.12; 261.12; 
2.022; 408.0; 0.0; 47.0; 92.16; 92.16; 
2.022; 408.96; 0.0; 47.0; 22.7451; 20.14; 
3.005; 440.0; 0.0; 42.0; 21.98; 43.52; 
3.005; 443.84; 0.0; 41.0; 21.98; 7.68; 
3.005; 412.8; 0.0; 38.0; 21.54; 5.12; 
3.005; 432.0; 0.0; 41.0; 21.78; 10.24; 
3.015; 421.76; 0.0; 38.0; 22.9; 2.56; 
3.015; 404.8; 0.0; 41.0; 23.5; 10.24; 
3.015; 400.0; 0.0; 40.0; 25.28; 30.72; 
3.015; 408.96; 0.0; 46.0; 21.6; 7.68; 
3.015; 414.72; 0.0; 41.0; 23.04; 35.84; 
3.015; 400.96; 0.0; 42.0; 22.28; 17.92; 
3.015; 421.76; 0.0; 38.0; 23.36; 10.24; 
3.015; 420.8; 0.0; 41.0; 22.7; 10.24; 
3.015; 411.84; 0.0; 36.0; 24.56; 7.68; 
3.018; 416.0; 0.0; 40.0; 21.62; 33.28; 
3.018; 413.76; 0.0; 40.0; 21.7; 10.24; 
3.018; 412.8; 0.0; 40.0; 20.96; 43.52; 
3.018; 394.88; 0.0; 42.0; 22.6; 23.04; 
4.005; 426.88; 1.0; 5121.0; 0.392157; 128.0; 
4.005; 437.76; 1.0; 5146.0; 0.0; 10.24; 
4.005; 408.0; 1.0; 5221.0; 73.3333; 66.56; 
4.005; 412.8; 1.0; 5146.0; 0.0; 7.68; 
4.005; 405.76; 0.0; 5221.0; 95.6863; 1.0; 
4.005; 417.92; 0.0; 5121.0; 50.9804; 1.0; 
4.015; 414.72; 1.0; 5121.0; 0.0; 15.36; 
4.015; 412.8; 0.0; 5196.0; 0.0; 51.2; 
4.015; 410.88; 0.0; 5146.0; 0.0; 17.92; 
4.015; 408.0; 0.0; 3898.0; 0.0; 28.16; 
4.020; 414.72; 0.0; 5146.0; 23.6; 23.6; 
4.018; 410.88; 0.0; 5146.0; 12.8; 12.8; 
4.022; 409.92; 1.0; 37.0; 0.0; 296.96; 
4.022; 416.96; 1.0; 38.0; 0.0; 23.04; 
4.022; 412.8; 1.0; 38.0; 0.0; 179.2; 
4.022; 498.88; 1.0; 39.0; 0.0; 189.44; 
5.023; 444.8; 1.0; 41.0; 125.44; 125.44; 
5.023; 426.88; 1.0; 41.0; 10.1961; 1.0; 
